bank_name,year,quarter,fiscal_quarter,car,cost_to_income,debt_to_equity,liquidity_coverage,npa_ratio,roa,crisis_label
AXIS BANK,2016,Q1,FY2016-Q1,15.2327,21.9496,8.7609,119.563,0.5084,1.813,0
AXIS BANK,2016,Q2,FY2016-Q2,15.3992,21.318,8.7123,120.0952,0.5138,1.8734,0
AXIS BANK,2016,Q3,FY2016-Q3,15.4761,21.594,8.7021,120.5548,0.5878,1.8635,0
AXIS BANK,2016,Q4,FY2016-Q4,15.5194,22.9934,8.7627,121.0,0.7245,1.7974,0
AXIS BANK,2017,Q1,FY2017-Q1,14.8447,30.3494,9.1441,122.6889,1.4537,1.2101,0
AXIS BANK,2017,Q2,FY2017-Q2,14.8029,32.5569,9.2295,123.2798,1.662,1.042,0
AXIS BANK,2017,Q3,FY2017-Q3,14.8941,34.7721,9.2693,124.0308,1.9201,0.8604,0
AXIS BANK,2017,Q4,FY2017-Q4,15.1742,37.475,9.2989,125.0,2.2223,0.6792,0
AXIS BANK,2018,Q1,FY2018-Q1,15.5094,43.7554,9.4718,127.6875,3.1196,0.2806,0
AXIS BANK,2018,Q2,FY2018-Q2,15.9657,45.4283,9.4371,128.8606,3.3733,0.1343,0
AXIS BANK,2018,Q3,FY2018-Q3,16.4406,45.9332,9.4015,129.7284,3.5424,0.0473,0
AXIS BANK,2018,Q4,FY2018-Q4,16.8186,45.7434,9.4655,130.0,3.5636,0.0418,0
AXIS BANK,2019,Q1,FY2019-Q1,16.1177,42.2385,10.0664,128.9298,3.1281,0.273,0
AXIS BANK,2019,Q2,FY2019-Q2,16.0309,39.662,10.2615,128.1529,2.8191,0.4254,0
AXIS BANK,2019,Q3,FY2019-Q3,15.9764,36.9012,10.3894,127.6495,2.4658,0.5721,0
AXIS BANK,2019,Q4,FY2019-Q4,16.0776,35.4219,10.438,128.0,2.1538,0.6583,0
AXIS BANK,2020,Q1,FY2020-Q1,16.248,38.1176,10.0928,134.112,1.879,0.4617,0
AXIS BANK,2020,Q2,FY2020-Q2,16.631,38.8203,9.8518,136.7029,1.7459,0.3733,0
AXIS BANK,2020,Q3,FY2020-Q3,17.1678,39.6418,9.5101,139.8173,1.6611,0.272,0
AXIS BANK,2020,Q4,FY2020-Q4,17.793,40.6701,9.1794,143.0,1.586,0.209,0
AXIS BANK,2021,Q1,FY2021-Q1,18.1693,41.0448,8.7062,148.2159,1.3968,0.3267,0
AXIS BANK,2021,Q2,FY2021-Q2,18.6185,40.2982,8.4634,150.3107,1.2766,0.4234,0
AXIS BANK,2021,Q3,FY2021-Q3,19.0403,38.7493,8.2611,151.3501,1.1525,0.5657,0
AXIS BANK,2021,Q4,FY2021-Q4,19.4068,37.2589,8.1612,151.0,1.0377,0.7315,0
AXIS BANK,2022,Q1,FY2022-Q1,18.7316,34.7938,8.3975,144.2946,0.8734,0.9447,0
AXIS BANK,2022,Q2,FY2022-Q2,18.7509,33.0591,8.4424,141.342,0.7903,1.105,0
AXIS BANK,2022,Q3,FY2022-Q3,18.7663,31.5767,8.4958,138.0183,0.7194,1.2195,0
AXIS BANK,2022,Q4,FY2022-Q4,18.8181,31.2425,8.5812,135.0,0.6559,1.2644,0
AXIS BANK,2023,Q1,FY2023-Q1,17.9,34.1977,8.8523,130.7164,0.5485,0.9796,0
AXIS BANK,2023,Q2,FY2023-Q2,17.8564,35.042,8.8896,129.309,0.4912,0.8947,0
AXIS BANK,2023,Q3,FY2023-Q3,17.862,35.516,8.8646,128.4721,0.4413,0.8282,0
AXIS BANK,2023,Q4,FY2023-Q4,17.9046,35.6444,8.8235,128.0,0.4014,0.836,0
AXIS BANK,2024,Q1,FY2024-Q1,16.9459,32.2297,8.6767,127.413,0.3728,1.1237,0
AXIS BANK,2024,Q2,FY2024-Q2,16.8487,30.0943,8.5514,127.2345,0.3517,1.361,0
AXIS BANK,2024,Q3,FY2024-Q3,16.8189,27.3607,8.3724,127.1137,0.339,1.6388,0
AXIS BANK,2024,Q4,FY2024-Q4,16.8794,24.9617,8.1996,127.0,0.3329,1.9124,0
AXIS BANK,2025,Q1,FY2025-Q1,16.4816,24.0962,7.8923,126.2425,0.3528,1.8944,0
AXIS BANK,2025,Q2,FY2025-Q2,16.5949,23.0363,7.7157,125.9905,0.3495,2.0225,0
AXIS BANK,2025,Q3,FY2025-Q3,16.8687,23.2863,7.5292,125.5933,0.3467,2.012,0
AXIS BANK,2025,Q4,FY2025-Q4,17.326,25.7945,7.3878,125.0,0.3426,1.8183,0
BANDHAN BANK,2016,Q1,FY2016-Q1,42.9715,49.9317,0.5,127.7179,0.0,-2.9583,0
BANDHAN BANK,2016,Q2,FY2016-Q2,36.6597,41.7526,2.105,124.2046,0.0,-0.8889,0
BANDHAN BANK,2016,Q3,FY2016-Q3,32.2319,35.1413,3.5386,122.0377,0.0058,0.7347,0
BANDHAN BANK,2016,Q4,FY2016-Q4,29.4452,30.4626,4.5133,121.0,0.0783,1.9646,0
BANDHAN BANK,2017,Q1,FY2017-Q1,26.0751,25.1489,5.4342,122.0745,0.234,3.2857,0
BANDHAN BANK,2017,Q2,FY2017-Q2,25.4781,22.9245,5.673,122.6441,0.279,3.963,0
BANDHAN BANK,2017,Q3,FY2017-Q3,25.7858,21.5637,5.6347,123.6916,0.3177,4.4039,0
BANDHAN BANK,2017,Q4,FY2017-Q4,26.7554,21.2638,5.4228,125.0,0.3524,4.6607,0
BANDHAN BANK,2018,Q1,FY2018-Q1,28.5114,23.7006,4.6178,127.8521,0.4764,4.141,0
BANDHAN BANK,2018,Q2,FY2018-Q2,29.7906,24.2647,4.243,129.0309,0.5022,4.1739,0
BANDHAN BANK,2018,Q3,FY2018-Q3,31.0184,24.904,3.8791,129.8192,0.5318,4.1799,0
BANDHAN BANK,2018,Q4,FY2018-Q4,31.9522,25.9006,3.6186,130.0,0.5678,4.2114,0
BANDHAN BANK,2019,Q1,FY2019-Q1,30.4471,28.4607,3.6389,128.8857,0.6397,3.8808,0
BANDHAN BANK,2019,Q2,FY2019-Q2,30.2111,28.9085,3.6482,128.1072,0.6594,4.0404,0
BANDHAN BANK,2019,Q3,FY2019-Q3,29.8685,28.8585,3.734,127.6252,0.643,4.2345,0
BANDHAN BANK,2019,Q4,FY2019-Q4,29.638,28.7467,3.8825,128.0,0.5678,4.4412,0
BANDHAN BANK,2020,Q1,FY2020-Q1,27.9469,28.529,4.391,134.1238,0.4635,4.1103,0
BANDHAN BANK,2020,Q2,FY2020-Q2,27.849,27.6907,4.5535,136.7151,0.3417,4.2688,0
BANDHAN BANK,2020,Q3,FY2020-Q3,27.8514,26.9015,4.6866,139.8238,0.3425,4.3639,0
BANDHAN BANK,2020,Q4,FY2020-Q4,27.8414,27.0093,4.8054,143.0,0.5678,4.3681,0
BANDHAN BANK,2021,Q1,FY2021-Q1,25.4419,33.5595,5.1504,148.2127,2.0511,3.2378,0
BANDHAN BANK,2021,Q2,FY2021-Q2,24.9115,35.2427,5.2186,150.3074,2.6276,2.9721,0
BANDHAN BANK,2021,Q3,FY2021-Q3,24.3534,37.7412,5.2878,151.3483,3.1536,2.6282,0
BANDHAN BANK,2021,Q4,FY2021-Q4,23.822,41.8905,5.4206,151.0,3.4363,2.2258,0
BANDHAN BANK,2022,Q1,FY2022-Q1,21.4195,55.5329,6.078,144.2955,2.9323,1.0216,0
BANDHAN BANK,2022,Q2,FY2022-Q2,20.8295,60.2,6.3038,141.3428,2.5567,0.5701,0
BANDHAN BANK,2022,Q3,FY2022-Q3,20.4646,63.2245,6.4957,138.0188,2.0665,0.2381,0
BANDHAN BANK,2022,Q4,FY2022-Q4,20.4015,64.5499,6.6483,135.0,1.6251,0.1045,0
BANDHAN BANK,2023,Q1,FY2023-Q1,19.7286,57.9599,6.8377,130.7162,1.2901,0.5615,0
BANDHAN BANK,2023,Q2,FY2023-Q2,19.9314,53.5586,6.8304,129.3088,1.1672,0.8809,0
BANDHAN BANK,2023,Q3,FY2023-Q3,20.108,48.0937,6.7717,128.4719,1.1384,1.2536,0
BANDHAN BANK,2023,Q4,FY2023-Q4,20.0564,43.8223,6.7391,128.0,1.1454,1.5675,0
BANDHAN BANK,2024,Q1,FY2024-Q1,17.3552,41.8259,6.9135,127.4131,1.1847,1.5287,0
BANDHAN BANK,2024,Q2,FY2024-Q2,16.4681,40.7022,6.9388,127.2346,1.1538,1.5689,0
BANDHAN BANK,2024,Q3,FY2024-Q3,15.5792,40.4069,6.9503,127.1138,1.1181,1.5285,0
BANDHAN BANK,2024,Q4,FY2024-Q4,14.9104,41.1688,6.9721,127.0,1.0867,1.4525,0
BANDHAN BANK,2025,Q1,FY2025-Q1,15.224,42.6326,6.9434,126.2425,1.1837,1.2475,0
BANDHAN BANK,2025,Q2,FY2025-Q2,15.5082,42.7129,6.8918,125.9904,1.1718,1.2393,0
BANDHAN BANK,2025,Q3,FY2025-Q3,16.6899,41.5486,6.7563,125.5932,1.1919,1.3309,0
BANDHAN BANK,2025,Q4,FY2025-Q4,18.9906,39.3353,6.5587,125.0,1.2531,1.5675,0
BANK OF BARODA,2015,Q1,FY2015-Q1,10.4472,13.3179,15.6748,114.6447,0.0,4.5869,0
BANK OF BARODA,2015,Q2,FY2015-Q2,11.4093,28.3442,15.1675,116.049,0.0,2.7742,0
BANK OF BARODA,2015,Q3,FY2015-Q3,12.1845,38.3468,14.7574,117.1481,0.3021,1.4368,0
BANK OF BARODA,2015,Q4,FY2015-Q4,12.7991,44.8421,14.5122,118.0,1.8503,0.512,0
BANK OF BARODA,2016,Q1,FY2016-Q1,12.9143,49.3469,14.5867,119.563,4.0426,-0.4457,0
BANK OF BARODA,2016,Q2,FY2016-Q2,13.1394,49.5652,14.5227,120.0952,4.6252,-0.772,0
BANK OF BARODA,2016,Q3,FY2016-Q3,13.285,47.5581,14.4754,120.5548,4.9008,-0.8742,0
BANK OF BARODA,2016,Q4,FY2016-Q4,13.3777,44.8421,14.5122,121.0,4.9537,-0.8151,0
BANK OF BARODA,2017,Q1,FY2017-Q1,12.6196,38.9464,14.928,122.6889,5.0314,-0.3141,0
BANK OF BARODA,2017,Q2,FY2017-Q2,12.5219,35.664,14.9833,123.2798,4.8373,-0.0916,0
BANK OF BARODA,2017,Q3,FY2017-Q3,12.4477,33.0306,14.973,124.0308,4.6723,0.1037,0
BANK OF BARODA,2017,Q4,FY2017-Q4,12.4236,32.3349,14.9674,125.0,4.6209,0.209,0
BANK OF BARODA,2018,Q1,FY2018-Q1,11.9293,38.2538,14.9406,127.6875,5.2378,0.0213,0
BANK OF BARODA,2018,Q2,FY2018-Q2,11.9311,40.3816,14.8189,128.8606,5.3593,-0.107,0
BANK OF BARODA,2018,Q3,FY2018-Q3,12.0515,42.349,14.5935,129.7284,5.4444,-0.2548,0
BANK OF BARODA,2018,Q4,FY2018-Q4,12.312,43.8865,14.3511,130.0,5.3747,-0.3553,0
BANK OF BARODA,2019,Q1,FY2019-Q1,12.5798,43.188,13.9437,128.9298,4.669,-0.2173,0
BANK OF BARODA,2019,Q2,FY2019-Q2,12.9349,41.5893,13.6542,128.1529,4.1903,-0.1387,0
BANK OF BARODA,2019,Q3,FY2019-Q3,13.3068,39.3791,13.3844,127.6495,3.6794,-0.0312,0
BANK OF BARODA,2019,Q4,FY2019-Q4,13.6213,38.0771,13.2746,128.0,3.2601,0.0627,0
BANK OF BARODA,2020,Q1,FY2020-Q1,13.2336,39.8414,13.7309,134.112,3.141,0.1028,0
BANK OF BARODA,2020,Q2,FY2020-Q2,13.2417,40.0871,13.8598,136.7029,3.0303,0.1095,0
BANK OF BARODA,2020,Q3,FY2020-Q3,13.3,40.3247,13.9398,139.8173,3.0232,0.0909,0
BANK OF BARODA,2020,Q4,FY2020-Q4,13.4995,40.7812,13.962,143.0,3.0643,0.0627,0
BANK OF BARODA,2021,Q1,FY2021-Q1,13.831,41.0601,13.6957,148.2159,3.26,0.0343,0
BANK OF BARODA,2021,Q2,FY2021-Q2,14.2386,40.1811,13.4429,150.3107,3.2356,0.024,0
BANK OF BARODA,2021,Q3,FY2021-Q3,14.726,38.944,13.1169,151.3501,3.1639,0.0345,0
BANK OF BARODA,2021,Q4,FY2021-Q4,15.2148,38.3819,12.8751,151.0,3.0251,0.0732,0
BANK OF BARODA,2022,Q1,FY2022-Q1,15.2151,39.4192,12.9171,144.2946,2.5317,0.271,0
BANK OF BARODA,2022,Q2,FY2022-Q2,15.4323,39.2795,12.866,141.342,2.2532,0.3817,0
BANK OF BARODA,2022,Q3,FY2022-Q3,15.6526,38.8079,12.8226,138.0183,1.9581,0.5044,0
BANK OF BARODA,2022,Q4,FY2022-Q4,15.9152,38.3833,12.8251,135.0,1.6839,0.627,0
BANK OF BARODA,2023,Q1,FY2023-Q1,15.752,36.1331,12.9588,130.7164,1.2844,0.7773,0
BANK OF BARODA,2023,Q2,FY2023-Q2,15.9617,34.4646,12.9089,129.309,1.1066,0.8903,0
BANK OF BARODA,2023,Q3,FY2023-Q3,16.2126,32.4654,12.7968,128.4721,0.9712,0.9902,0
BANK OF BARODA,2023,Q4,FY2023-Q4,16.4836,30.999,12.7033,128.0,0.8713,1.0764,0
BANK OF BARODA,2024,Q1,FY2024-Q1,16.0988,29.8758,12.611,127.413,0.7806,1.0606,0
BANK OF BARODA,2024,Q2,FY2024-Q2,16.2018,28.9942,12.4851,127.2345,0.7265,1.1244,0
BANK OF BARODA,2024,Q3,FY2024-Q3,16.3467,28.2005,12.3039,127.1137,0.69,1.1778,0
BANK OF BARODA,2024,Q4,FY2024-Q4,16.5546,27.9042,12.1388,127.0,0.6657,1.2226,0
BANK OF BARODA,2025,Q1,FY2025-Q1,16.4154,27.9584,11.808,126.2425,0.6526,1.118,0
BANK OF BARODA,2025,Q2,FY2025-Q2,16.6229,27.5292,11.6008,125.9905,0.6303,1.1514,0
BANK OF BARODA,2025,Q3,FY2025-Q3,16.96,26.8033,11.3351,125.5933,0.6038,1.1821,0
BANK OF BARODA,2025,Q4,FY2025-Q4,17.4478,26.1585,11.0763,125.0,0.5678,1.2122,0
BANK OF INDIA,2015,Q1,FY2015-Q1,8.5657,35.183,18.3414,114.6447,0.0,-2.1533,0
BANK OF INDIA,2015,Q2,FY2015-Q2,9.4819,37.8943,17.7014,116.049,0.0,-1.0825,0
BANK OF INDIA,2015,Q3,FY2015-Q3,10.2497,39.3322,17.1953,117.1481,0.9713,-0.2812,0
BANK OF INDIA,2015,Q4,FY2015-Q4,10.891,40.4149,16.8965,118.0,3.2894,0.2822,0
BANK OF INDIA,2016,Q1,FY2016-Q1,11.3453,42.0608,16.9804,119.563,6.4676,0.7773,0
BANK OF INDIA,2016,Q2,FY2016-Q2,11.6773,41.7518,16.9085,120.0952,7.2858,0.9789,0
BANK OF INDIA,2016,Q3,FY2016-Q3,11.9517,40.8972,16.8561,120.5548,7.6275,1.0368,0
BANK OF INDIA,2016,Q4,FY2016-Q4,12.1901,40.4149,16.8965,121.0,7.6264,0.9823,0
BANK OF INDIA,2017,Q1,FY2017-Q1,11.9473,41.6806,17.298,122.6889,7.5482,0.4332,0
BANK OF INDIA,2017,Q2,FY2017-Q2,12.0355,41.2488,17.3354,123.2798,7.1844,0.2128,0
BANK OF INDIA,2017,Q3,FY2017-Q3,12.1532,40.9901,17.277,124.0308,6.8755,-0.0257,0
BANK OF INDIA,2017,Q4,FY2017-Q4,12.3221,41.8489,17.1979,125.0,6.7551,-0.2508,0
BANK OF INDIA,2018,Q1,FY2018-Q1,12.2826,48.1166,16.7011,127.6875,7.7259,-0.5789,0
BANK OF INDIA,2018,Q2,FY2018-Q2,12.4656,49.7279,16.4061,128.8606,7.9219,-0.7425,0
BANK OF INDIA,2018,Q3,FY2018-Q3,12.7457,51.0444,15.9225,129.7284,8.1051,-0.8658,0
BANK OF INDIA,2018,Q4,FY2018-Q4,13.1341,52.6421,15.3223,130.0,8.1061,-0.951,0
BANK OF INDIA,2019,Q1,FY2019-Q1,13.443,55.9761,13.7209,128.9298,7.3873,-0.8741,0
BANK OF INDIA,2019,Q2,FY2019-Q2,13.8267,56.0179,12.9399,128.1529,6.8131,-0.8938,0
BANK OF INDIA,2019,Q3,FY2019-Q3,14.1733,55.3351,12.2345,127.6495,6.1382,-0.8925,0
BANK OF INDIA,2019,Q4,FY2019-Q4,14.4028,55.1072,11.8236,128.0,5.4922,-0.8778,0
BANK OF INDIA,2020,Q1,FY2020-Q1,13.5597,54.8841,12.3632,134.112,4.7219,-0.6495,0
BANK OF INDIA,2020,Q2,FY2020-Q2,13.3785,53.9623,12.5702,136.7029,4.3103,-0.6024,0
BANK OF INDIA,2020,Q3,FY2020-Q3,13.2488,52.1877,12.8596,139.8173,4.0096,-0.5377,0
BANK OF INDIA,2020,Q4,FY2020-Q4,13.2965,50.2207,13.1687,143.0,3.7985,-0.4494,0
BANK OF INDIA,2021,Q1,FY2021-Q1,13.5904,43.5254,13.5366,148.2159,3.6927,-0.103,0
BANK OF INDIA,2021,Q2,FY2021-Q2,13.986,39.9703,13.5587,150.3107,3.5528,0.0427,0
BANK OF INDIA,2021,Q3,FY2021-Q3,14.5334,36.2448,13.4019,151.3501,3.4244,0.1808,0
BANK OF INDIA,2021,Q4,FY2021-Q4,15.1539,33.5045,13.1571,151.0,3.2796,0.2926,0
BANK OF INDIA,2022,Q1,FY2022-Q1,15.6069,32.022,12.5114,144.2946,2.9528,0.3693,0
BANK OF INDIA,2022,Q2,FY2022-Q2,16.037,31.0363,12.1309,141.342,2.7282,0.4129,0
BANK OF INDIA,2022,Q3,FY2022-Q3,16.4272,30.609,11.7605,138.0183,2.5002,0.4356,0
BANK OF INDIA,2022,Q4,FY2022-Q4,16.7577,31.1191,11.5506,135.0,2.2909,0.4494,0
BANK OF INDIA,2023,Q1,FY2023-Q1,16.2616,34.0161,11.8708,130.7164,2.0232,0.4281,0
BANK OF INDIA,2023,Q2,FY2023-Q2,16.3012,34.6627,11.9595,129.309,1.8676,0.4494,0
BANK OF INDIA,2023,Q3,FY2023-Q3,16.3704,34.7552,12.0483,128.4721,1.7371,0.4769,0
BANK OF INDIA,2023,Q4,FY2023-Q4,16.5242,34.5658,12.1256,128.0,1.6251,0.512,0
BANK OF INDIA,2024,Q1,FY2024-Q1,16.3167,31.3571,12.1029,127.413,1.4731,0.5505,0
BANK OF INDIA,2024,Q2,FY2024-Q2,16.524,29.3972,11.9768,127.2345,1.3726,0.6072,0
BANK OF INDIA,2024,Q3,FY2024-Q3,16.8303,26.9297,11.7627,127.1137,1.2801,0.6684,0
BANK OF INDIA,2024,Q4,FY2024-Q4,17.2144,24.7569,11.5702,127.0,1.1944,0.7315,0
BANK OF INDIA,2025,Q1,FY2025-Q1,17.176,23.0395,11.5943,126.2425,1.0503,0.7612,0
BANK OF INDIA,2025,Q2,FY2025-Q2,17.4533,21.7764,11.4948,125.9905,0.9666,0.827,0
BANK OF INDIA,2025,Q3,FY2025-Q3,17.7472,21.4228,11.4666,125.5933,0.8845,0.8876,0
BANK OF INDIA,2025,Q4,FY2025-Q4,18.0365,22.7444,11.6198,125.0,0.8028,0.9405,0
BANK OF MAHARASHTRA,2015,Q1,FY2015-Q1,13.1352,41.2916,27.8862,114.6447,9.1923,-1.6786,0
BANK OF MAHARASHTRA,2015,Q2,FY2015-Q2,12.638,43.6356,23.9528,116.049,6.6721,-0.7065,0
BANK OF MAHARASHTRA,2015,Q3,FY2015-Q3,12.3047,44.806,21.2168,117.1481,5.0147,-0.0478,0
BANK OF MAHARASHTRA,2015,Q4,FY2015-Q4,12.1191,45.7863,19.587,118.0,4.102,0.3448,0
BANK OF MAHARASHTRA,2016,Q1,FY2016-Q1,11.3506,47.5599,19.0905,119.563,4.7421,0.413,0
BANK OF MAHARASHTRA,2016,Q2,FY2016-Q2,11.2645,47.2175,18.9267,120.0952,4.8757,0.4079,0
BANK OF MAHARASHTRA,2016,Q3,FY2016-Q3,11.2756,46.2985,19.1226,120.5548,5.4066,0.2789,0
BANK OF MAHARASHTRA,2016,Q4,FY2016-Q4,11.368,45.7863,19.587,121.0,6.2166,0.0732,0
BANK OF MAHARASHTRA,2017,Q1,FY2017-Q1,11.0493,46.6645,20.347,122.6889,9.2837,-0.4074,0
BANK OF MAHARASHTRA,2017,Q2,FY2017-Q2,11.1213,46.0235,20.6021,123.2798,10.1247,-0.6523,0
BANK OF MAHARASHTRA,2017,Q3,FY2017-Q3,11.2261,45.403,20.3791,124.0308,10.9071,-0.8319,0
BANK OF MAHARASHTRA,2017,Q4,FY2017-Q4,11.3477,45.7863,19.587,125.0,11.513,-0.8987,0
BANK OF MAHARASHTRA,2018,Q1,FY2018-Q1,10.9581,52.5408,16.7199,127.6875,12.3086,-0.6976,0
BANK OF MAHARASHTRA,2018,Q2,FY2018-Q2,10.9758,53.8842,15.1046,128.8606,12.1989,-0.592,0
BANK OF MAHARASHTRA,2018,Q3,FY2018-Q3,11.0404,55.796,13.9816,129.7284,11.7682,-0.5727,0
BANK OF MAHARASHTRA,2018,Q4,FY2018-Q4,11.1751,59.5273,14.1226,130.0,11.004,-0.7628,0
BANK OF MAHARASHTRA,2019,Q1,FY2019-Q1,11.1815,71.0784,19.5878,128.9298,8.6855,-1.7225,0
BANK OF MAHARASHTRA,2019,Q2,FY2019-Q2,11.3717,74.947,22.1532,128.1529,7.4514,-2.3719,0
BANK OF MAHARASHTRA,2019,Q3,FY2019-Q3,11.657,76.4408,24.4198,127.6495,6.2856,-2.9187,0
BANK OF MAHARASHTRA,2019,Q4,FY2019-Q4,12.0369,75.3424,25.4766,128.0,5.4041,-3.1454,0
BANK OF MAHARASHTRA,2020,Q1,FY2020-Q1,12.4854,59.7079,21.372,134.112,5.0111,-1.7213,0
BANK OF MAHARASHTRA,2020,Q2,FY2020-Q2,12.8803,51.4034,19.0527,136.7029,4.8271,-1.0763,0
BANK OF MAHARASHTRA,2020,Q3,FY2020-Q3,13.3045,42.6264,16.2508,139.8173,4.7744,-0.3469,0
BANK OF MAHARASHTRA,2020,Q4,FY2020-Q4,13.7228,36.4646,14.0063,143.0,4.6698,0.2404,0
